freq,unit,sex,age,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,NR,M,Y70-74,PT1	: 	166230 	149602 	155852 	164217 	171633 	174685 	178266 	180254 	182964 	183893 	187452 	191652 	197106 	200270 	203567 	206633 	208538 	208056 	209649 	210902 	209274 	205227 	203813 	203984 	206361 	212394 	218521 	225647 	236081 	247563 	256004 	265622 	271794 	271149 
A,NR,M,Y70-74,PT11	: 	51220 	45858 	47835 	50542 	53236 	54037 	55108 	55889 	56976 	57390 	58789 	60486 	62598 	63660 	64897 	66085 	66918 	66962 	67815 	68283 	67785 	66393 	66214 	66324 	67545 	70468 	73699 	76854 	81894 	87210 	90530 	95298 	98800 	99284 
A,NR,M,Y70-74,PT15	: 	7940 	7400 	7668 	7950 	8301 	8429 	8550 	8610 	8725 	8737 	8745 	8900 	9117 	9267 	9413 	9550 	9480 	9393 	9480 	9606 	9722 	9662 	9680 	9693 	9805 	9966 	10188 	10897 	11730 	12677 	13453 	14032 	14135 	14080 
A,NR,M,Y70-74,PT16	: 	: 	44413 	45745 	47976 	49817 	50594 	51454 	51944 	52334 	52163 	52895 	53866 	54813 	55452 	56364 	56827 	56718 	56178 	56158 	55882 	54772 	53546 	52793 	52281 	52158 	53716 	55210 	56694 	59417 	62593 	64447 	66762 	68538 	: 
A,NR,M,Y70-74,PT17	: 	: 	34315 	36200 	38388 	40093 	41159 	42285 	42858 	43910 	44660 	46079 	47357 	49164 	50318 	51238 	52278 	53622 	54313 	55430 	56722 	57323 	57224 	57507 	58477 	59900 	61223 	62124 	63277 	64503 	65999 	68013 	69209 	69766 	: 
A,NR,M,Y70-74,PT18	: 	: 	17616 	18404 	19361 	20186 	20466 	20869 	20953 	21019 	20943 	: @C	21043 	21414 	21573 	21655 	21893 	21800 	21210 	20766 	20409 	19672 	18402 	17619 	17209 	16953 	17021 	17300 	17925 	18537 	19084 	19561 	20321 	20555 	: 
A,NR,M,Y70-74,PT19	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	51600 	51243 
A,NR,M,Y70-74,PT1A	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	48568 	48014 
A,NR,M,Y70-74,PT1B	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	21198 	20848 
A,NR,M,Y70-74,PT1C	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	13746 	13856 
A,NR,M,Y70-74,PT1D	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	23747 	23824 
A,NR,M,Y70-74,PT2	: 	3590 	3818 	3843 	3791 	3785 	3768 	3789 	3755 	3640 	3568 	3531 	3556 	3601 	3685 	3719 	3648 	3621 	3559 	3455 	3377 	3354 	3348 	3243 	3314 	3482 	3608 	3640 	3753 	3919 	4051 	4302 	4692 	4914 	5153 
A,NR,M,Y70-74,PT20	: 	3590 	3818 	3843 	3791 	3785 	3768 	3789 	3755 	3640 	3568 	3531 	3556 	3601 	3685 	3719 	3648 	3621 	3559 	3455 	3377 	3354 	3348 	3243 	3314 	3482 	3608 	3640 	3753 	3919 	4051 	4302 	4692 	4914 	5153 
A,NR,M,Y70-74,PT3	: 	3200 	3121 	3157 	3179 	3280 	3332 	3352 	3323 	3320 	3298 	3472 	3551 	3706 	3797 	3887 	3791 	3812 	3681 	3593 	3575 	3440 	3456 	3507 	3549 	3641 	3828 	3976 	4181 	4421 	4746 	5158 	5428 	5614 	5819 
A,NR,M,Y70-74,PT30	: 	3200 	3121 	3157 	3179 	3280 	3332 	3352 	3323 	3320 	3298 	3472 	3551 	3706 	3797 	3887 	3791 	3812 	3681 	3593 	3575 	3440 	3456 	3507 	3549 	3641 	3828 	3976 	4181 	4421 	4746 	5158 	5428 	5614 	5819 
A,NR,M,Y70-74,RO	191709 	201963 	223809 	262730 	304898 	326948 	346917 	357935 	366354 	375793 	377835 	384895 	379966 	381432 	378193 	375067 	377847 	375497 	374921 	379028 	376369 	373854 	368478 	352934 	336603 	329105 	315777 	323493 	332799 	349894 	377832 e	403858 e	410639 e	426431 e	439478 e
A,NR,M,Y70-74,RO1	46564 	51492 	58988 	68371 	76985 	80195 	82877 	83753 	83902 	84576 	85127 	87016 	86189 	87505 	86562 	85330 	84091 	84532 	84061 	84797 	85648 	85484 	86300 	85272 	83053 	83260 	81759 	82850 	84635 	88414 	92434 e	98246 e	101132 e	105376 e	109420 e
A,NR,M,Y70-74,RO11	24714 	27608 	32315 	37581 	42037 	43323 	44329 	44207 	43804 	44049 	44283 	45303 	44872 	45718 	45201 	44429 	43710 	43848 	43313 	43692 	43970 	43950 	44567 	44135 	42802 	42959 	42161 	42971 	44185 	46130 	47651 e	50325 e	51175 e	52882 e	54263 e
A,NR,M,Y70-74,RO12	21850 	23884 	26673 	30790 	34948 	36872 	38548 	39546 	40098 	40527 	40844 	41713 	41317 	41787 	41361 	40901 	40381 	40684 	40748 	41105 	41678 	41534 	41733 	41137 	40251 	40301 	39598 	39879 	40450 	42284 	44783 e	47921 e	49957 e	52494 e	55157 e
A,NR,M,Y70-74,RO2	49205 	51751 	58525 	70336 	83601 	91243 	98356 	101923 	105738 	109027 	110426 	113813 	114519 	118177 	118239 	119658 	119768 	121099 	119723 	118897 	117422 	115976 	111939 	106003 	100625 	95888 	89532 	91158 	90584 	95140 	106202 e	114687 e	117690 e	124256 e	128066 e
A,NR,M,Y70-74,RO21	28600 	29906 	34094 	40681 	47834 	51679 	55973 	57826 	59903 	61643 	62964 	64549 	64904 	66807 	66456 	66775 	67190 	68387 	68150 	68196 	67469 	66549 	63687 	59646 	55983 	52611 	48366 	48990 	48757 	51992 	57612 e	62516 e	63860 e	67362 e	68933 e
A,NR,M,Y70-74,RO22	20605 	21845 	24431 	29655 	35767 	39564 	42383 	44097 	45835 	47384 	47462 	49264 	49615 	51370 	51783 	52883 	52578 	52712 	51573 	50701 	49953 	49427 	48252 	46357 	44642 	43277 	41166 	42168 	41827 	43148 	48590 e	52171 e	53830 e	56894 e	59133 e
A,NR,M,Y70-74,RO3	54939 	55019 	58429 	68331 	80481 	87294 	93841 	97376 	100402 	103650 	104031 	104963 	102174 	103822 	101931 	101461 	100172 	101503 	99512 	99691 	99755 	98100 	95038 	90248 	86148 	84151 	81118 	83913 	87945 	91761 	100255 e	106860 e	108789 e	113014 e	117207 e
A,NR,M,Y70-74,RO31	34182 	33999 	36665 	43381 	51728 	56204 	60156 	62170 	63595 	65280 	65284 	66012 	64921 	66684 	66117 	66297 	65813 	66947 	65538 	65650 	65390 	64267 	62952 	59803 	56693 	55319 	52775 	54458 	56375 	58025 	62821 e	66544 e	66342 e	68297 e	70672 e
A,NR,M,Y70-74,RO32	20757 	21020 	21764 	24950 	28753 	31090 	33685 	35206 	36807 	38370 	38747 	38951 	37253 	37138 	35814 	35164 	34359 	34556 	33974 	34041 	34365 	33833 	32086 	30445 	29455 	28832 	28343 	29455 	31570 	33736 	37434 e	40316 e	42447 e	44717 e	46535 e
A,NR,M,Y70-74,RO4	41001 	43701 	47409 	55692 	63831 	68216 	71843 	74883 	76312 	78556 	78251 	79103 	77084 	78118 	77186 	77211 	76606 	78555 	78675 	80191 	80169 	78884 	75201 	71411 	66777 	65806 	63368 	65572 	69635 	74579 	78941 e	84065 e	83028 e	83785 e	84785 e
A,NR,M,Y70-74,RO41	23693 	23751 	24812 	29204 	34350 	37561 	40608 	43204 	44471 	46030 	45458 	45615 	44036 	44885 	44529 	44938 	45045 	46774 	46907 	47620 	47158 	45601 	42118 	39721 	37085 	36942 	35554 	36857 	38787 	41259 	43291 e	46218 e	44523 e	44721 e	45108 e
A,NR,M,Y70-74,RO42	17308 	19950 	22597 	26488 	29481 	30655 	31235 	31679 	31841 	32526 	32793 	33488 	33048 	33233 	32657 	32273 	31561 	31781 	31768 	32571 	33011 	33283 	33083 	31690 	29692 	28864 	27814 	28715 	30848 	33320 	35650 e	37847 e	38505 e	39064 e	39677 e
A,NR,M,Y70-74,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	149917 	155790 	162343 	166764 	169908 	170888 	171303 	168791 	166508 	163103 	158714 	153447 	157390 	153074 	147484 	141856 	135867 	126444 	128372 	137151 	148873 	162059 	178442 	178061 	193476 b	197897 
A,NR,M,Y70-74,RS1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	59415 	64235 	70472 	77834 	85245 	84650 	90332 b	91879 
A,NR,M,Y70-74,RS11	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	27258 	29727 	32931 	36172 	39723 	39576 	42017 b	42742 
A,NR,M,Y70-74,RS12	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	32157 	34508 	37541 	41662 	45522 	45074 	48315 b	49137 
A,NR,M,Y70-74,RS2	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	68957 	72916 	78401 	84225 	93197 	93411 	103144 b	106018 
A,NR,M,Y70-74,RS21	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	36754 	39049 	41638 	45572 	50739 	51170 	57085 b	59546 
A,NR,M,Y70-74,RS22	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	32203 	33867 	36763 	38653 	42458 	42241 	46059 b	46472 
A,NR,M,Y70-74,SE	170521 	178163 	182907 	184234 	186213 	186933 	180739 	175650 	172223 	169140 	166161 	164497 	163353 	163154 	161150 	160865 	161208 	163394 	166863 	173080 	180700 	186833 	193710 	205273 	218880 	234581 	250497 	264573 	272290 	275471 	273394 	268233 	260832 	255190 	250856 
A,NR,M,Y70-74,SE1	55840 	58806 	60655 	60963 	61635 	61952 	59807 	57922 	56768 	55427 	54328 	53487 	53042 	52952 	52519 	52571 	52965 	54053 	55589 	58411 	61745 	64674 	67789 	72518 	77946 	84203 	89935 	94882 	97698 	98276 	96756 	94688 	91591 	89625 	88286 
A,NR,M,Y70-74,SE11	26649 	28258 	29447 	29627 	30110 	30410 	29428 	28374 	27704 	27009 	26234 	25691 	25537 	25561 	25353 	25538 	25908 	26493 	27268 	28691 	30392 	31819 	33595 	36319 	39422 	42793 	45862 	48325 	49704 	49699 	48734 	47494 	46076 	45384 	45096 
A,NR,M,Y70-74,SE12	29191 	30548 	31208 	31336 	31525 	31542 	30379 	29548 	29064 	28418 	28094 	27796 	27505 	27391 	27166 	27033 	27057 	27560 	28321 	29720 	31353 	32855 	34194 	36199 	38524 	41410 	44073 	46557 	47994 	48577 	48022 	47194 	45515 	44241 	43190 
A,NR,M,Y70-74,SE2	75709 	78968 	81008 	81770 	82841 	83178 	80490 	78444 	76902 	75751 	74494 	73989 	73494 	73434 	72357 	72094 	72085 	72964 	74509 	77193 	80405 	82912 	85627 	90728 	96422 	102922 	109755 	115755 	118809 	120322 	119879 	117740 	115067 	112594 	110800 
A,NR,M,Y70-74,SE21	17496 	18067 	18320 	18458 	18515 	18447 	17924 	17368 	16950 	16752 	16395 	16224 	16141 	16109 	15733 	15773 	15772 	15864 	16086 	16567 	17262 	17771 	18247 	19433 	20677 	21979 	23449 	24841 	25583 	25970 	25846 	25459 	24860 	24298 	23862 
A,NR,M,Y70-74,SE22	24417 	25572 	26277 	26570 	26969 	27230 	26345 	25729 	25373 	25071 	24722 	24524 	24466 	24396 	24275 	24263 	24351 	24720 	25318 	26264 	27317 	28186 	29239 	30982 	32827 	35145 	37351 	39300 	40096 	40313 	39923 	39149 	38262 	37420 	36871 
A,NR,M,Y70-74,SE23	33796 	35329 	36411 	36742 	37357 	37501 	36221 	35347 	34579 	33928 	33377 	33241 	32887 	32929 	32349 	32058 	31962 	32380 	33105 	34362 	35826 	36955 	38141 	40313 	42918 	45798 	48955 	51614 	53130 	54039 	54110 	53132 	51945 	50876 	50067 
A,NR,M,Y70-74,SE3	38972 	40389 	41244 	41501 	41737 	41803 	40442 	39284 	38553 	37962 	37339 	37021 	36817 	36768 	36274 	36200 	36158 	36377 	36765 	37476 	38550 	39247 	40294 	42027 	44512 	47456 	50807 	53936 	55783 	56873 	56759 	55805 	54174 	52971 	51770 
A,NR,M,Y70-74,SE31	19638 	20607 	21052 	21133 	21151 	21008 	20038 	19348 	18968 	18651 	18278 	18198 	18042 	17945 	17600 	17548 	17456 	17467 	17648 	18092 	18614 	19036 	19800 	20856 	22021 	23707 	25431 	26969 	28046 	28671 	28409 	27821 	27018 	26256 	25579 
A,NR,M,Y70-74,SE32	9219 	9441 	9684 	9820 	9751 	9788 	9498 	9170 	8859 	8722 	8486 	8316 	8237 	8208 	8091 	8016 	8018 	8077 	8190 	8330 	8649 	8741 	8913 	9236 	9860 	10503 	11271 	12024 	12263 	12365 	12375 	12156 	11681 	11524 	11263 
A,NR,M,Y70-74,SE33	10115 	10341 	10508 	10548 	10835 	11007 	10906 	10766 	10726 	10589 	10575 	10507 	10538 	10615 	10583 	10636 	10684 	10833 	10927 	11054 	11287 	11470 	11581 	11935 	12631 	13246 	14105 	14943 	15474 	15837 	15975 	15828 	15475 	15191 	14928 
A,NR,M,Y70-74,SI	14271 	15214 	17260 	19542 	22047 	23049 	24019 	24808 	26339 	27614 	29381 	31378 	32943 	33795 	34270 	34803 	34958 	35795 	36163 	36736 	37556 	38335 	38895 	39858 	40703 	40357 	38365 	38793 	39922 	41529 	44499 	50200 	52619 	54760 	56883 
A,NR,M,Y70-74,SI0	14271 	15214 	17260 	19542 	22047 	23049 	24019 	24808 	26339 	27614 	29381 	31378 	32943 	33795 	34270 	34803 	34958 	35795 	36163 	36736 	37556 	38335 	38895 	39858 	40703 	40357 	38365 	38793 	39922 	41529 	44499 	50200 	52619 	54760 	56883 
A,NR,M,Y70-74,SI03	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	18199 	18403 	18617 	18681 	19129 	19265 	19439 	19747 	20210 	20556 	21369 	22385 	22613 	21723 	21813 	22157 	22627 	23984 	27105 	28657 	29817 	31210 
A,NR,M,Y70-74,SI04	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	15596 	15867 	16186 	16277 	16666 	16898 	17297 	17809 	18125 	18339 	18489 	18318 	17744 	16642 	16980 	17765 	18902 	20515 	23095 	23962 	24943 	25673 
A,NR,M,Y70-74,SK	41647 	45555 	53627 	61584 	69498 	70727 	71306 	70285 	69505 	67910 	67904 	68453 	67835 	68498 	68176 	67494 	66662 	65382 	64327 	64290 	65110 	67137 	69571 	71820 	73768 	76440 	77303 	79454 	84586 	90809 	96281 	103829 	110477 	115421 	120213 
A,NR,M,Y70-74,SK0	41647 	45555 	53627 	61584 	69498 	70727 	71306 	70285 	69160 	67910 	67904 	67653 	67835 	68498 	68176 	67494 	66662 	65382 	64327 	64290 	65110 	67137 	69571 	71820 	73768 	76440 	77303 	79454 	84586 	90809 	96281 	103829 	110477 	115421 	120213 
A,NR,M,Y70-74,SK01	: 	: 	: 	: 	: 	: 	8872 	8723 	8489 	8349 	8298 	8008 	7964 	8011 	7831 	7675 	7514 	7340 	7189 	7337 	7563 	7920 	8320 	8702 	9054 	9458 	9679 	10114 	10774 	11502 	12145 	13031 	14932 	15646 	16316 
A,NR,M,Y70-74,SK02	: 	: 	: 	: 	: 	: 	25683 	25334 	25041 	24701 	24634 	24799 	24746 	24967 	24883 	24550 	24272 	23961 	23825 	23872 	24394 	25383 	26227 	26985 	27735 	28717 	28886 	29667 	31244 	33142 	34866 	37501 	39661 	41752 	43656 
A,NR,M,Y70-74,SK03	: 	: 	: 	: 	: 	: 	18110 	17846 	17533 	17017 	17116 	17047 	17095 	17138 	17080 	16788 	16575 	16172 	15725 	15645 	15815 	16127 	16669 	17555 	18043 	18587 	18943 	19303 	20476 	22194 	23510 	25329 	26902 	27988 	28982 
A,NR,M,Y70-74,SK04	: 	: 	: 	: 	: 	: 	18641 	18382 	18097 	17843 	17856 	17799 	18030 	18382 	18382 	18481 	18301 	17909 	17588 	17436 	17338 	17707 	18355 	18578 	18936 	19678 	19795 	20370 	22092 	23971 	25760 	27968 	28982 	30035 	31259 
A,NR,M,Y70-74,TR	238599 	383528 	394026 	403021 	410518 	418523 	427021 	436027 	447033 	460541 	474032 	509000 b	520000 	537000 	553000 	566000 	568000 	569000 	629241 	575433 	586824 	633016 	649739 	671942 	674943 	699604 	737892 	763121 	784614 	835353 	907850 	960742 	982573 	1031897 	1077788 
A,NR,M,Y70-74,TR1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	82398 	72779 	74869 	80949 	83796 	88214 	90143 	91330 	100159 	105311 	110176 	113954 	125966 	133753 	136103 	141991 	145409 
A,NR,M,Y70-74,TR10	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	82398 	72779 	74869 	80949 	83796 	88214 	90143 	91330 	100159 	105311 	110176 	113954 	125966 	133753 	136103 	141991 	145409 
A,NR,M,Y70-74,TR2	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	40724 	39155 	40047 	41926 	41984 	42290 	42308 	45118 	46293 	47836 	49581 	53973 	57167 	60748 	62967 	66938 	70120 
A,NR,M,Y70-74,TR21	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	16884 	16334 	16491 	17265 	17030 	16842 	16780 	17202 	18132 	19028 	20278 	22172 	24036 	25984 	27141 	29297 	31243 
A,NR,M,Y70-74,TR22	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	23840 	22821 	23556 	24661 	24954 	25448 	25528 	27916 	28161 	28808 	29303 	31801 	33131 	34764 	35826 	37641 	38877 
A,NR,M,Y70-74,TR3	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	103973 	98808 	101851 	107827 	109094 	111882 	111688 	117121 	121921 	126434 	130690 	140137 	150398 	158134 	162024 	170752 	178505 
A,NR,M,Y70-74,TR31	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	37434 	36008 	37628 	39972 	40552 	42208 	42988 	45484 	48286 	50858 	53215 	56528 	60345 	63698 	65132 	67982 	70596 
A,NR,M,Y70-74,TR32	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	31410 	30381 	31085 	32896 	33474 	34099 	34029 	36339 	37331 	38481 	39795 	43511 	46520 	48938 	50631 	53624 	56173 
A,NR,M,Y70-74,TR33	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	35129 	32419 	33138 	34959 	35068 	35575 	34671 	35298 	36304 	37095 	37680 	40098 	43533 	45498 	46261 	49146 	51736 
A,NR,M,Y70-74,TR4	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	61318 	57778 	59839 	63679 	65409 	67966 	68589 	70828 	74812 	77129 	79678 	84724 	93030 	99708 	102644 	108305 	113610 
A,NR,M,Y70-74,TR41	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	33978 	32120 	33118 	34867 	35618 	36915 	37154 	38035 	39948 	40791 	41758 	44428 	48593 	51717 	53629 	56900 	59640 
A,NR,M,Y70-74,TR42	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	27340 	25658 	26721 	28812 	29791 	31051 	31435 	32793 	34864 	36338 	37920 	40296 	44437 	47991 	49015 	51405 	53970 
A,NR,M,Y70-74,TR5	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	55305 	50958 	52578 	57499 	59323 	61711 	62055 	62974 	68244 	71698 	74452 	78235 	86776 	92064 	93908 	98684 	103184 
A,NR,M,Y70-74,TR51	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	34910 	31947 	33080 	36531 	38335 	40511 	40990 	41370 	45583 	47947 	49776 	51713 	57547 	61358 	62955 	66019 	69334 
A,NR,M,Y70-74,TR52	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	20395 	19011 	19498 	20968 	20988 	21200 	21065 	21604 	22661 	23751 	24676 	26522 	29229 	30706 	30953 	32665 	33850 
A,NR,M,Y70-74,TR6	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	73365 	68571 	70896 	75666 	77719 	80370 	80823 	83157 	88107 	91856 	96293 	104350 	115020 	122164 	125977 	132266 	137307 
A,NR,M,Y70-74,TR61	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	23495 	22205 	23331 	25592 	26498 	27504 	27920 	28927 	29950 	30997 	31959 	34511 	37706 	40399 	41818 	43993 	46315 
A,NR,M,Y70-74,TR62	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	27238 	25117 	25979 	28120 	29160 	30320 	30845 	31813 	33919 	35365 	37203 	40080 	44457 	46922 	48283 	50921 	53718 
A,NR,M,Y70-74,TR63	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	22632 	21249 	21586 	21954 	22061 	22546 	22058 	22417 	24238 	25494 	27131 	29759 	32857 	34843 	35876 	37352 	37274 
A,NR,M,Y70-74,TR7	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	37256 	32104 	32180 	35967 	37457 	39443 	39616 	42176 	43846 	45406 	45721 	49693 	53815 	56701 	57156 	59754 	63127 
A,NR,M,Y70-74,TR71	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	14850 	13262 	13441 	14854 	15129 	15418 	15297 	16020 	16632 	17357 	17926 	19555 	21430 	22575 	22634 	23571 	24893 
A,NR,M,Y70-74,TR72	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	22406 	18842 	18739 	21113 	22328 	24025 	24319 	26156 	27214 	28049 	27795 	30138 	32385 	34126 	34522 	36183 	38234 
A,NR,M,Y70-74,TR8	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	60908 	53995 	52658 	57828 	60107 	62386 	62494 	64603 	67802 	69092 	69548 	73556 	79380 	83576 	84622 	88598 	93303 
A,NR,M,Y70-74,TR81	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	12306 	10701 	10162 	11062 	11513 	11943 	12232 	12725 	13581 	13949 	14411 	15230 	16735 	17997 	18437 	19694 	20922 
A,NR,M,Y70-74,TR82	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	13648 	12015 	11626 	13022 	13661 	14403 	14486 	15007 	15104 	15156 	14631 	16034 	17131 	18150 	18126 	18959 	20019 
A,NR,M,Y70-74,TR83	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	34954 	31279 	30870 	33744 	34933 	36040 	35776 	36871 	39117 	39987 	40506 	42292 	45514 	47429 	48059 	49945 	52362 
A,NR,M,Y70-74,TR9	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	35053 	30546 	29539 	32409 	33410 	34224 	33890 	35340 	36130 	36623 	35643 	38267 	40889 	43911 	45119 	47691 	51166 
A,NR,M,Y70-74,TR90	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	35053 	30546 	29539 	32409 	33410 	34224 	33890 	35340 	36130 	36623 	35643 	38267 	40889 	43911 	45119 	47691 	51166 
A,NR,M,Y70-74,TRA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	17619 	15531 	16261 	17531 	17380 	17388 	17183 	18912 	19671 	20103 	20255 	21671 	22173 	22973 	22889 	23052 	24138 
A,NR,M,Y70-74,TRA1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10391 	8995 	9450 	10379 	10425 	10420 	10157 	11233 	11259 	11464 	11310 	12251 	12628 	13216 	13395 	13519 	14251 
A,NR,M,Y70-74,TRA2	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7228 	6536 	6811 	7152 	6955 	6968 	7026 	7679 	8412 	8639 	8945 	9420 	9545 	9757 	9494 	9533 	9887 
A,NR,M,Y70-74,TRB	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	23998 	21576 	21392 	23653 	24238 	24891 	24898 	25731 	26825 	27120 	27131 	28823 	31124 	33033 	33681 	35222 	36280 
A,NR,M,Y70-74,TRB1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	16133 	14432 	14000 	15537 	15981 	16280 	16056 	16292 	16769 	17123 	17202 	18536 	20063 	21489 	21785 	22786 	23083 
A,NR,M,Y70-74,TRB2	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7865 	7144 	7392 	8116 	8257 	8611 	8842 	9439 	10056 	9997 	9929 	10287 	11061 	11544 	11896 	12436 	13197 
A,NR,M,Y70-74,TRC	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	37324 	33632 	34714 	38082 	39822 	41177 	41256 	42314 	44082 	44513 	45446 	47970 	52112 	53977 	55483 	58644 	61639 
A,NR,M,Y70-74,TRC1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	13563 	12521 	12877 	14334 	15143 	15812 	15808 	16393 	17329 	17791 	18373 	19673 	21534 	22414 	22995 	23960 	24637 
