freq,unit,sex,age,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,NR,F,TOTAL,BE3	1671905 	1679534 	1687594 	1696203 	1701693 	1706412 	1708049 	1711331 	1714356 	1717244 	1720864 	1724443 	1730061 	1734615 	1740296 	1748028 	1757337 	1768322 	1778385 	1787439 	1798284 	1816163 b	1825850 b	1833855 	1838275 	1843760 	1849695 	1853486 	1856876 	1861312 	1868052 	1868742 	1875127 	1886164 	1891418 
A,NR,F,TOTAL,BE31	161155 	164273 	166476 	168615 	170534 	172382 	173781 	175098 	176693 	178179 	179552 	180698 	182428 	183983 	185470 	187044 	188573 	190692 	192363 	193468 	195407 	197443 b	199137 b	200447 	201753 	203060 	204723 	205762 	206773 	208006 	209323 	210026 	211217 	213096 	213737 
A,NR,F,TOTAL,BE32	661806 	663000 	664429 	665851 	666174 	666053 	665203 	665043 	664282 	663126 	662768 	663046 	663559 	663683 	664333 	665830 	667809 	670071 	672749 	674786 	677118 	681303 b	684171 b	686736 	687666 	688617 	689295 	689584 	689898 	690579 	692106 	691339 	693521 	696415 	697864 
A,NR,F,TOTAL,BE33	515075 	516331 	518466 	520915 	522309 	523071 	522850 	523365 	524107 	524625 	525171 	525457 	527215 	527940 	529527 	531768 	535015 	538448 	541374 	544127 	547958 	554469 b	557153 b	559300 	560363 	561531 	563284 	564187 	565367 	566224 	567742 	567195 	568108 	571040 	572939 
A,NR,F,TOTAL,BE34	117406 	118329 	119184 	120305 	120891 	121954 	122524 	123155 	123693 	124448 	125193 	126122 	126902 	127746 	128541 	129422 	130735 	132113 	133416 	134852 	135844 	137637 b	138716 b	139738 	140124 	140989 	141679 	142444 	142874 	143541 	144898 	145872 	146908 	148513 	149149 
A,NR,F,TOTAL,BE35	216463 	217601 	219039 	220517 	221785 	222952 	223691 	224670 	225581 	226866 	228180 	229120 	229957 	231263 	232425 	233964 	235205 	236998 	238483 	240206 	241957 	245311 b	246673 b	247634 	248369 	249563 	250714 	251509 	251964 	252962 	253983 	254310 	255373 	257100 	257729 
A,NR,F,TOTAL,BG	4443535 	4399271 	4366016 	4315730 	4308125 	4297452 	4281347 	4263435 	4238235 	4216300 	4199715 	4182045 	4035676 	4003292 	3973019 	3944453 	3914757 	3886094 	3857635 	3831264 	3807808 	3780505 	3760457 	3701945 	3662824 	3621883 	3578998 	3537549 	3494184 	3450251 	3405861 	3389807 	3364303 	3348207 	3347783 
A,NR,F,TOTAL,BG3	2389569 	2365136 	2348012 	2321411 	2315024 	2305146 	2292579 	2280797 	2262952 	2244544 	2229075 	2212957 	2128604 	2100816 	2074925 	2050792 	2026320 	2002955 	1980261 	1958774 	1939001 	1916902 	1902510 	1862999 	1836261 	1808129 	1779288 	1751509 	1722191 	1692531 	1662760 	1652514 	1635975 	1624080 	1621432 
A,NR,F,TOTAL,BG31	606677 	601465 	597218 	591604 	587224 	580989 	575562 	571300 	565572 	557819 	551646 	544991 	517775 	506473 	496040 	486042 	476008 	466516 	457351 	448785 	440350 	431353 	425797 	415995 	408660 	400875 	393070 	385393 	377481 	369820 	362081 	358558 	352033 	347191 	343867 
A,NR,F,TOTAL,BG32	584008 	574544 	568440 	558765 	557482 	556842 	554891 	550940 	546315 	541409 	537552 	534160 	503321 	495359 	487862 	480722 	473447 	466435 	459865 	453587 	448063 	442282 	437922 	426713 	419129 	411201 	403223 	395549 	387392 	379243 	370939 	366998 	361935 	358050 	355157 
A,NR,F,TOTAL,BG33	558859 	551557 	546768 	539848 	539421 	536442 	533340 	531970 	528678 	526383 	523148 	519289 	517051 	513861 	510932 	508350 	505782 	503200 	500604 	497872 	495644 	492578 	490678 	479673 	473448 	466878 	459960 	453274 	446281 	438886 	431583 	430442 	428078 	427103 	428665 
A,NR,F,TOTAL,BG34	640025 	637570 	635586 	631194 	630897 	630873 	628786 	626587 	622387 	618933 	616729 	614517 	590457 	585123 	580091 	575678 	571083 	566804 	562441 	558530 	554944 	550689 	548113 	540618 	535024 	529175 	523035 	517293 	511037 	504582 	498157 	496516 	493929 	491736 	493743 
A,NR,F,TOTAL,BG4	2053966 	2034135 	2018004 	1994319 	1993101 	1992306 	1988768 	1982638 	1975283 	1971756 	1970640 	1969088 	1907072 	1902476 	1898094 	1893661 	1888437 	1883139 	1877374 	1872490 	1868807 	1863603 	1857947 	1838946 	1826563 	1813754 	1799710 	1786040 	1771993 	1757720 	1743101 	1737293 	1728328 	1724127 	1726351 
